,TOWN,POP2010,2018,death_per_10k
100,montague,8437,1,1.185255422543558
101,tyngsborough,11292,4,3.5423308537017357
102,malden,59450,13,2.1867115222876365
103,stoneham,21437,4,1.8659327331249709
104,northampton,28549,13,4.55357455602648
105,braintree,35744,6,1.6786034019695615
106,scituate,18133,1,0.5514807257486352
107,bellingham,16332,2,1.224589762429586
108,dunstable,3179,0,0.0
109,savoy,692,0,0.0
110,arlington,42844,2,0.46680982167864815
111,hardwick,2990,0,0.0
112,mount washington,167,0,0.0
113,ashby,3074,0,0.0
114,hull,10293,3,2.9146021568055955
115,lawrence,76377,62,8.117627034316614
116,ludlow,21103,3,1.421598824811638
117,norfolk,11227,1,0.8907098957869422
118,whitman,14489,1,0.6901787562978812
119,clarksburg,1702,0,0.0
120,paxton,4806,0,0.0
121,westfield,41094,16,3.893512434905339
122,salem,41340,36,8.708272859216255
123,marlborough,38499,22,5.714434141146524
124,belchertown,14649,6,4.095842719639566
125,freetown,8870,1,1.1273957158962795
126,florida,752,0,0.0
127,worthington,1156,0,0.0
128,norwell,10506,1,0.9518370454978108
129,brewster,9820,0,0.0
130,edgartown,4067,1,2.4588148512417014
131,clinton,13606,6,4.409819197412906
132,stow,6590,0,0.0
133,attleboro,43593,16,3.670314041245154
134,harwich,12243,1,0.8167932696234583
135,stoughton,26962,7,2.5962465692456047
136,somerset,18165,2,1.1010184420589044
137,newbury,6666,0,0.0
138,hanover,13879,0,0.0
139,uxbridge,13457,0,0.0
140,hadley,5250,1,1.9047619047619047
141,north adams,13708,4,2.918004085205719
142,mansfield,23184,2,0.862663906142167
143,bernardston,2129,0,0.0
144,dracut,29457,7,2.3763451811114504
145,shutesbury,1771,0,0.0
146,franklin,31635,4,1.264422317053896
147,westminster,7277,0,0.0
148,leominster,40759,24,5.888270075320788
149,revere,51755,9,1.7389624190899429
150,wrentham,10955,1,0.9128251939753538
151,avon,4356,2,4.591368227731865
152,halifax,7518,2,2.6602819898909282
153,newton,85146,3,0.35233598759777324
154,ipswich,13175,4,3.0360531309297913
155,cohasset,7542,0,0.0
156,auburn,16188,1,0.6177415369409439
157,chicopee,55298,17,3.0742522333538282
158,hamilton,7764,1,1.287995878413189
159,plymouth,56468,15,2.656371750371892
160,barre,5398,1,1.8525379770285293
161,bolton,4897,0,0.0
162,orange,7839,2,2.5513458349279245
163,dartmouth,34032,4,1.1753643629525152
164,cummington,872,0,0.0
165,granby,6240,0,0.0
166,lee,5943,1,1.6826518593303044
167,sterling,7808,1,1.2807377049180326
168,wilbraham,14219,0,0.0
169,georgetown,8183,1,1.2220457045093487
170,carver,11509,1,0.8688852202624033
171,eastham,4956,0,0.0
172,melrose,26983,19,7.041470555534966
173,manchester,5136,0,0.0
174,pepperell,11497,2,1.7395842393667915
175,woburn,38120,8,2.0986358866736623
176,sutton,8963,2,2.2313957380341405
177,framingham,68318,25,3.6593577095348224
178,warren,5135,1,1.9474196689386565
179,charlemont,1266,0,0.0
180,west springfield,28391,12,4.226691557183615
181,new braintree,999,0,0.0
182,dedham,24729,6,2.426301103967002
183,princeton,3413,1,2.929973630237328
184,lunenburg,10086,1,0.99147332936744
185,groveland,6459,0,0.0
186,millbury,13261,3,2.2622728301033104
187,pelham,1321,0,0.0
188,wakefield,24932,5,2.0054548371570675
189,rockland,17489,8,4.574303848133113
190,seekonk,13722,1,0.7287567409998542
191,templeton,8013,1,1.2479720454261825
192,palmer,12140,7,5.766062602965404
193,foxborough,16865,3,1.7788319003854134
194,lincoln,6362,0,0.0
195,east bridgewater,13794,3,2.174858634188778
196,lakeville,10602,1,0.9432182607055273
197,royalston,1258,0,0.0
198,watertown,31915,1,0.31333228889237036
199,easton,23112,4,1.7307026652821047
200,natick,33006,1,0.3029752166272799
201,brockton,93810,51,5.436520626798848
202,wendell,848,0,0.0
203,westford,21951,0,0.0
204,north reading,14892,1,0.67150147730325
205,tisbury,3949,2,5.064573309698658
206,acton,21924,1,0.4561211457763182
207,middleton,8987,1,1.1127183709803048
208,tyringham,327,0,0.0
209,hingham,22157,0,0.0
210,wilmington,22325,2,0.8958566629339306
211,richmond,1475,0,0.0
212,douglas,8471,1,1.180498170227836
213,abington,15985,5,3.127932436659368
214,chilmark,866,0,0.0
215,southwick,9502,3,3.157230056830141
216,yarmouth,23793,4,1.681166729710419
217,alford,494,0,0.0
218,hanson,10209,2,1.9590557351356648
219,medway,12752,2,1.5683814303638646
220,west brookfield,3701,0,0.0
221,new salem,990,0,0.0
222,chatham,6125,0,0.0
223,waltham,60632,3,0.4947882306372872
224,holbrook,10791,4,3.706792697618386
225,holyoke,39880,29,7.271815446339017
226,new ashford,228,0,0.0
227,new marlborough,1509,0,0.0
228,montgomery,838,0,0.0
229,andover,33201,2,0.6023914942321015
230,east brookfield,2183,0,0.0
231,north attleborough,28712,3,1.0448592922819726
232,weymouth,53743,33,6.140334555197886
233,westhampton,1607,0,0.0
234,west boylston,7669,1,1.3039509714434736
235,spencer,11688,1,0.8555783709787816
236,gill,1500,0,0.0
237,dennis,14207,2,1.407756739635391
238,leverett,1851,0,0.0
239,phillipston,1682,0,0.0
240,chelmsford,33802,3,0.8875214484350039
241,south hadley,17514,0,0.0
242,williamsburg,2482,1,4.0290088638195005
243,brookfield,3390,1,2.949852507374631
244,leicester,10970,2,1.8231540565177757
245,hinsdale,2032,0,0.0
246,shrewsbury,35608,5,1.4041788362165806
247,provincetown,2942,0,0.0
248,upton,7542,1,1.3259082471492973
249,billerica,40243,8,1.9879233655542579
250,rochester,5232,0,0.0
251,harvard,6520,1,1.5337423312883436
252,rehoboth,11608,2,1.7229496898690557
253,shirley,7211,0,0.0
254,buckland,1902,0,0.0
255,hatfield,3279,0,0.0
256,boxborough,4996,0,0.0
257,holden,17346,1,0.5765017871555402
258,methuen,47255,11,2.3277960004232354
259,ashfield,1737,1,5.757052389176741
260,swansea,15865,2,1.2606366214938545
261,springfield,153060,108,7.056056448451588
262,bedford,13320,1,0.7507507507507507
263,ashland,16593,0,0.0
264,monroe,121,0,0.0
265,oakham,1902,0,0.0
266,easthampton,16053,4,2.4917460910733196
267,north andover,28352,1,0.3527088036117382
268,norton,19031,4,2.1018338500341547
269,hampden,5139,1,1.9459038723487059
270,sunderland,3684,1,2.7144408251900107
271,leyden,711,0,0.0
272,huntington,2180,1,4.587155963302752
273,dudley,11390,3,2.633889376646181
274,brookline,58732,3,0.5107947967036709
275,west newbury,4235,0,0.0
276,littleton,8924,0,0.0
277,oak bluffs,4527,1,2.208968411751712
278,rutland,7973,1,1.2542330364981813
279,mattapoisett,6045,4,6.617038875103391
280,westport,15532,3,1.9314962657738863
281,haverhill,60879,24,3.9422460947124622
282,heath,706,0,0.0
283,sudbury,17659,0,0.0
284,rowley,5856,1,1.7076502732240437
285,whately,1496,0,0.0
286,bourne,19754,4,2.024906348081401
287,washington,538,0,0.0
288,williamstown,7754,1,1.2896569512509672
289,shelburne,1893,0,0.0
290,aquinnah,311,0,0.0
291,east longmeadow,15720,0,0.0
292,southampton,5792,0,0.0
293,gardner,20228,23,11.370377694285148
294,raynham,13383,1,0.7472166180975864
295,rockport,6952,3,4.31530494821634
296,weston,11261,0,0.0
297,monson,8560,1,1.1682242990654206
298,sandisfield,915,0,0.0
299,erving,1800,0,0.0
300,monterey,961,0,0.0
301,west tisbury,2740,0,0.0
302,townsend,8926,2,2.2406453058480844
303,winthrop,17497,2,1.1430530948162543
304,stockbridge,1947,1,5.136106831022085
305,orleans,5890,3,5.093378607809847
306,ayer,7427,2,2.6928773394371883
307,oxford,13709,0,0.0
308,pittsfield,44737,21,4.694101079643248
309,hopkinton,14925,3,2.0100502512562817
310,russell,1775,0,0.0
311,merrimac,6338,0,0.0
312,northbridge,15707,3,1.909976443623862
