TOWN,town_actual_2010_pop,block_est_2010_pop,count_error,percent_error
sandwich,20675,20655.0,-20.0,0.09673518742442563
marshfield,25132,26097.0,965.0,3.8397262454241603
goshen,1054,1054.0,0.0,0.0
northborough,14155,14155.0,0.0,0.0
acushnet,10303,10303.0,0.0,0.0
marion,4907,4907.0,0.0,0.0
burlington,24498,24498.0,0.0,0.0
lenox,5025,5025.0,0.0,0.0
hawley,337,897.0,560.0,166.1721068249258
becket,1779,1779.0,0.0,0.0
great barrington,7104,7104.0,0.0,0.0
rowe,393,1220.0,827.0,210.4325699745547
middlefield,521,1677.0,1156.0,221.8809980806142
groton,10646,10646.0,0.0,0.0
truro,2003,2003.0,0.0,0.0
winchendon,10300,10300.0,0.0,0.0
wellfleet,2750,2750.0,0.0,0.0
ashburnham,6081,6081.0,0.0,0.0
amesbury,16283,16283.0,0.0,0.0
hancock,717,717.0,0.0,0.0
westborough,18272,18272.0,0.0,0.0
nahant,3410,2781.0,-629.0,18.44574780058651
wenham,4875,4875.0,0.0,0.0
west bridgewater,6916,6916.0,0.0,0.0
carlisle,4852,4852.0,0.0,0.0
saugus,26628,26628.0,0.0,0.0
lexington,31394,31394.0,0.0,0.0
lanesborough,3091,3091.0,0.0,0.0
plainfield,648,648.0,0.0,0.0
sturbridge,9268,9268.0,0.0,0.0
belmont,24729,24729.0,0.0,0.0
gosnold,75,75.0,0.0,0.0
peru,847,847.0,0.0,0.0
sherborn,4119,4119.0,0.0,0.0
middleborough,23116,23116.0,0.0,0.0
fall river,88857,84996.0,-3861.0,4.345183834700699
warwick,780,971.0,191.0,24.487179487179485
milton,27003,27003.0,0.0,0.0
adams,8485,8485.0,0.0,0.0
millis,7891,7891.0,0.0,0.0
brimfield,3609,3609.0,0.0,0.0
west stockbridge,1306,1306.0,0.0,0.0
danvers,26493,26493.0,0.0,0.0
otis,1612,1612.0,0.0,0.0
colrain,1671,1195.0,-476.0,28.48593656493118
northfield,3032,3032.0,0.0,0.0
plympton,2820,2820.0,0.0,0.0
berkley,6411,6411.0,0.0,0.0
kingston,12629,12629.0,0.0,0.0
montague,8437,7544.0,-893.0,10.584330923313974
tyngsborough,11292,11292.0,0.0,0.0
malden,59450,59450.0,0.0,0.0
stoneham,21437,21437.0,0.0,0.0
northampton,28549,28549.0,0.0,0.0
braintree,35744,35744.0,0.0,0.0
scituate,18133,18133.0,0.0,0.0
bellingham,16332,16332.0,0.0,0.0
dunstable,3179,3179.0,0.0,0.0
savoy,692,692.0,0.0,0.0
arlington,42844,42844.0,0.0,0.0
hardwick,2990,2990.0,0.0,0.0
mount washington,167,1392.0,1225.0,733.5329341317365
ashby,3074,3074.0,0.0,0.0
hull,10293,7584.0,-2709.0,26.318857475954534
lawrence,76377,76377.0,0.0,0.0
ludlow,21103,21103.0,0.0,0.0
norfolk,11227,11227.0,0.0,0.0
whitman,14489,14489.0,0.0,0.0
clarksburg,1702,1702.0,0.0,0.0
paxton,4806,4806.0,0.0,0.0
westfield,41094,41094.0,0.0,0.0
salem,41340,39772.0,-1568.0,3.7929366231253026
