city_death,tot_pop_17,over_65_count,over_65_prop,med_house_inc,mean_house_inc,mean_med_inc_desp,drop_out,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop,town_status,urb_v_rur,death_rate_12,death_rate_13,death_rate_14,death_rate_15,death_rate_16,death_rate_17,death_rate_18
bellingham,16929,2330,0.13763364640557624,96905.77777777778,116765.78432545734,19860.006547679535,0.0,6.006031160998492,0.04181579575280363,0.0587568599379623,grown,rural,1.8178985093232223,0.6028506222279637,1.1995338954006443,1.1934293191485734,0.5936932810883245,0.59070234508831,1.1754827875734677
belmont,25965,5009,0.19291353745426534,133904.22222222222,169356.88168527174,35452.659463049575,0.974025974025974,3.4898582939705474,0.05527012299548498,0.0535575276350615,grown,rural,0.0,0.0,0.39315461647767164,0.3904441581187285,0.3877708163683601,0.770267668014635,0.3825324742746911
berkley,6630,847,0.1277526395173454,94247.66666666667,107201.58783799357,12953.921171326903,0.3436426116838488,6.329386437029063,0.03928085813567004,0.09276325728962079,grown,rural,3.08948471808452,1.53731277726534,1.5299543199353047,0.0,3.030893464094737,3.0165912518853695,1.501211692294495
berlin,3098,614,0.19819238218205293,90776.5,121826.9028195785,31050.402819578514,20.27972027972028,6.247269550021843,0.028877352368591822,0.08208955223880597,grown,rural,0.0,0.0,0.0,3.2984638582602956,0.0,0.0,0.0
bernardston,1074,261,0.2430167597765363,70500.0,82633.3333333333,12133.3333333333,0.0,2.406738868832732,0.035381750465549346,0.2206703910614525,shrunk,rural,10.94348471820527,0.0,0.0,0.0,0.0,0.0,0.0
beverly,41431,7488,0.18073423282083464,87027.46428571429,112923.64809992803,26393.909549574426,0.0,5.6848089272555,0.08261729938030517,0.12794875800656147,grown,rural,1.7476780848301545,0.9918491255787263,2.9553530591422437,3.424669501920261,6.803476715448057,4.103207742994376,2.8772444219136415
billerica,42791,7375,0.1723493257928069,100865.35714285714,111088.3180768316,9978.884011357286,2.669491525423729,7.437693435412934,0.042882969748101726,0.07151982644329276,grown,rural,0.2440750774938371,0.7257771864037741,1.4388834264610662,1.6641704110500917,2.121290687533882,1.8695520085999393,1.853782875680686
blackstone,9201,1238,0.134550592326921,73267.6,88997.39166895002,15729.791668950022,1.8181818181818181,5.818931346123355,0.03982542280414621,0.08292416803055101,grown,rural,0.0,0.0,0.0,1.0927767457108513,3.2693984306887534,1.0868383871318334,0.0
blandford,1259,306,0.24305003971405878,62875.0,78223.8447319778,15348.844731977806,0.0,10.623084780388151,0.07069102462271644,0.1556791104050834,grown,rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bolton,5167,716,0.13857170505128702,149331.5,164037.83714528248,14706.337145282494,0.0,1.2813046010483402,0.013934584865492549,0.03657828527191794,grown,rural,0.0,0.0,0.0,0.0,1.9499150394161395,1.9353590090961874,0.0
boston,668541,85040,0.12720237053524017,71196.0495049505,92167.94052329108,22125.40186501259,2.033171559157518,13.941736093625128,0.2051539801511834,0.15864350438687613,grown,urban,0.9807794349083356,1.2667563151823762,2.5823148762985024,3.4557382621218977,3.9167480405457953,4.173266860222484,3.625230249682185
bourne,19832,4614,0.2326542960871319,69166.9375,91659.35790084311,22492.420400843093,3.896103896103896,3.6843221837210947,0.06850593787273765,0.11294922989161438,grown,rural,2.022624499761619,1.0107427515305534,1.0101738942203622,2.019211353736983,3.0271142951868883,0.5042355788624445,2.015809707563606
boxborough,5546,739,0.13324918860439958,111916.33333333333,138245.35080914994,26329.017475816596,0.0,2.992776057791538,0.05319148936170213,0.06527226830147854,grown,rural,0.0,0.0,0.0,0.0,0.0,1.8031013342949875,0.0
boxford,8228,1698,0.2063684978123481,162762.6,204146.35700396338,41383.7570039634,0.0,2.3788852231290156,0.02771025765678172,0.03986387943607195,grown,rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boylston,4524,660,0.14588859416445624,91662.75,114604.4399436983,22941.6899436983,0.0,3.4374014506464836,0.040798226164079826,0.08980044345898004,grown,rural,0.0,0.0,0.0,2.234280242578998,0.0,0.0,0.0
braintree,37082,7407,0.19974650773960412,87660.2,102959.95774705119,15906.060566217075,0.0,5.949796213766046,0.04990413585319091,0.09821966584497398,grown,rural,0.8304202717451479,0.8260496731203436,1.09563311942401,1.9073717973670485,1.8974891184807694,2.6967261744242492,1.6097381492610539
brewster,9856,3274,0.33218344155844154,71159.11111111111,93807.27444595686,22648.163334845754,12.598425196850394,2.887947631882942,0.04801933382368393,0.12262267521277713,grown,rural,1.0172644306225658,1.0167325122007902,0.0,1.0156703424260012,1.0151400893323277,1.0146103896103897,0.0
