city_death,2014,2015,2016,2017,2018,tot_pop_14,tot_pop_15,tot_pop_16,tot_pop_17,tot_pop_18
BEDFORD,1,1,2,2,1,13768.57142857143,13880.714285714286,13992.857142857143,14105,14217.142857142857
BELCHERTOWN,1,0,1,3,6,14795.857142857143,14832.57142857143,14869.285714285714,14906,14942.714285714286
BELLINGHAM,2,2,1,1,2,16673.14285714286,16758.428571428572,16843.714285714286,16929,17014.285714285714
BELMONT,1,1,1,2,1,25435.285714285714,25611.85714285714,25788.428571428572,25965,26141.571428571428
BERKLEY,1,0,2,2,1,6536.142857142857,6567.428571428572,6598.714285714285,6630,6661.285714285715
BERLIN,0,1,0,0,0,2998.5714285714284,3031.714285714286,3064.8571428571427,3098,3131.1428571428573
BERNARDSTON,0,0,0,0,0,1050,1058,1066,1074,1082
BEVERLY,12,14,28,17,12,40604.28571428572,40879.857142857145,41155.42857142857,41431,41706.57142857143
BILLERICA,6,7,9,8,8,41699,42063,42427,42791,43155
BLACKSTONE,0,1,3,1,0,9126,9151,9176,9201,9226
BLANDFORD,0,0,0,0,0,1247.857142857143,1251.5714285714287,1255.2857142857142,1259,1262.7142857142858
BOLTON,0,0,1,1,0,5051.285714285715,5089.857142857143,5128.428571428572,5167,5205.571428571428
BOSTON,167,226,259,279,245,646388.5714285715,653772.7142857143,661156.8571428572,668541,675925.1428571428
BOURNE,2,4,6,1,4,19808,19816,19824,19832,19840
BOXBOROUGH,0,0,0,1,0,5310.285714285715,5388.857142857143,5467.428571428572,5546,5624.571428571428
BOXFORD,0,0,0,0,0,8113.571428571428,8151.714285714285,8189.857142857143,8228,8266.142857142857
BOYLSTON,0,1,0,0,0,4451.571428571428,4475.714285714285,4499.857142857143,4524,4548.142857142857
BRAINTREE,4,7,7,10,6,36508.57142857143,36699.71428571428,36890.857142857145,37082,37273.142857142855
BREWSTER,0,1,1,1,0,9840.57142857143,9845.714285714286,9850.857142857143,9856,9861.142857142857
BRIDGEWATER,1,4,2,5,1,27060.714285714286,27185.14285714286,27309.571428571428,27434,27558.428571428572
BRIMFIELD,0,0,0,0,2,3674.714285714286,3691.1428571428573,3707.5714285714284,3724,3740.4285714285716
BROCKTON,45,88,69,71,51,93981.42857142857,94188.28571428571,94395.14285714286,94602,94808.85714285714
BROOKFIELD,0,0,0,2,1,3399.1428571428573,3401.4285714285716,3403.714285714286,3406,3408.285714285714
