city_death,year,death_rate_per10k,tot_pop_17,over_65_count,over_65_prop,med_house_inc,mean_house_inc,mean_med_inc_desp,drop_out,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop,town_status,urb_v_rur,total_claims_count_avg,opioid_claim_count_avg,opioid_rate_avg,total_claim_count_sum,opioid_claim_count_sum,claim_per_65_and_over,opi_claim_per_65_and_over
malden,2017,2.1150690535182197,61212,8687,0.14191661765666866,66458.85416666669,78240.49060063821,11823.536899374485,4.079441760601181,13.479951784211604,0.1587470526591564,0.16274233691380666,grown,urban,778.2207792207793,55.36363636363637,10.942073364088193,59923,4263.0,6.8980085184758835,0.49073327961321517
manchester,2013,0.0,5327,1459,0.27388774169326074,113122.2,164876.5349338172,51754.3349338172,0.0,2.642174131857071,0.036988358993616216,0.061396920766053326,grown,rural,1002.96,35.2,3.913721481609366,25074,880.0,17.185743660041123,0.6031528444139822
manchester,2014,0.0,5327,1459,0.27388774169326074,113122.2,164876.5349338172,51754.3349338172,0.0,2.642174131857071,0.036988358993616216,0.061396920766053326,grown,rural,1017.8076923076923,29.153846153846153,3.243396054991917,26463,758.0,18.13776559287183,0.5195339273474983
manchester,2015,0.0,5327,1459,0.27388774169326074,113122.2,164876.5349338172,51754.3349338172,0.0,2.642174131857071,0.036988358993616216,0.061396920766053326,grown,rural,1028.75,29.583333333333332,5.10667818700905,24690,710.0,16.922549691569568,0.4866346812885538
manchester,2016,0.0,5327,1459,0.27388774169326074,113122.2,164876.5349338172,51754.3349338172,0.0,2.642174131857071,0.036988358993616216,0.061396920766053326,grown,rural,1298.2727272727273,39.68181818181818,5.289004903612663,28562,873.0,19.57642220699109,0.5983550376970528
manchester,2017,0.0,5327,1459,0.27388774169326074,113122.2,164876.5349338172,51754.3349338172,0.0,2.642174131857071,0.036988358993616216,0.061396920766053326,grown,rural,1140.7391304347825,30.695652173913043,2.837475405185067,26237,706.0,17.982864976010966,0.4838930774503084
mansfield,2013,0.4261432815467784,23678,2603,0.1099332713911648,116948.35714285714,133365.61446226618,16417.25731940903,2.359208523592085,2.5514660012476607,0.027069389138354657,0.06261120054223503,grown,rural,1528.5806451612902,97.3225806451613,7.435708344324866,47386,3017.0,18.204379562043794,1.1590472531694198
mansfield,2014,0.4248655603976742,23678,2603,0.1099332713911648,116948.35714285714,133365.61446226618,16417.25731940903,2.359208523592085,2.5514660012476607,0.027069389138354657,0.06261120054223503,grown,rural,1347.2413793103449,78.13793103448276,10.144940261311069,39070,2266.0,15.009604302727622,0.8705339992316558
mansfield,2015,2.5415728705250165,23678,2603,0.1099332713911648,116948.35714285714,133365.61446226618,16417.25731940903,2.359208523592085,2.5514660012476607,0.027069389138354657,0.06261120054223503,grown,rural,1231.5,70.16666666666667,6.933901935110436,36945,2105.0,14.193238570879753,0.8086822896657703
mansfield,2016,1.689331869245713,23678,2603,0.1099332713911648,116948.35714285714,133365.61446226618,16417.25731940903,2.359208523592085,2.5514660012476607,0.027069389138354657,0.06261120054223503,grown,rural,1335.032258064516,71.0,5.835700339235733,41386,2201.0,15.899346907414522,0.8455628121398386
mansfield,2017,0.8421559191530318,23678,2603,0.1099332713911648,116948.35714285714,133365.61446226618,16417.25731940903,2.359208523592085,2.5514660012476607,0.027069389138354657,0.06261120054223503,grown,rural,1208.7575757575758,66.24242424242425,6.1735062615297505,39889,2186.0,15.324241260084518,0.8398002305032655
marblehead,2013,0.0,20393,5386,0.2641102339037905,118758.9,165125.03276142658,46366.132761426634,0.0,2.3562164731445643,0.04586703491812981,0.0566679818504636,grown,rural,993.5357142857143,21.892857142857142,9.680727014732202,27819,613.0,5.1650575566282955,0.11381359079093947
marblehead,2014,0.0,20393,5386,0.2641102339037905,118758.9,165125.03276142658,46366.132761426634,0.0,2.3562164731445643,0.04586703491812981,0.0566679818504636,grown,rural,1017.4444444444445,23.037037037037038,7.031991728089881,27471,622.0,5.100445599702933,0.11548458967694021
marblehead,2015,0.9847642896332456,20393,5386,0.2641102339037905,118758.9,165125.03276142658,46366.132761426634,0.0,2.3562164731445643,0.04586703491812981,0.0566679818504636,grown,rural,749.4,21.3,8.61513690102755,22482,639.0,4.174155217229855,0.11864092090605273
