,town,x,y,2014,2015,2016,2017,2018
246,shrewsbury,182231.44686818196,892657.8859712963,1,1,3,7,5
247,provincetown,307736.1013985479,868660.2511684077,2,1,0,1,0
248,upton,191381.29048961124,880742.336436853,0,0,1,0,1
249,billerica,219112.49271419022,923150.4371468395,6,7,9,8,8
250,rochester,255011.73405761606,834624.2297697216,1,0,0,0,0
251,harvard,192989.63297899655,917265.0424709164,0,0,0,0,1
252,rehoboth,221129.77015298096,843765.2951685438,0,1,0,0,2
253,shirley,187923.2749027804,924670.5584181442,1,0,0,1,0
254,buckland,94285.53842663905,927590.7003629897,0,0,0,0,0
255,hatfield,107635.12099995467,904763.039612785,2,1,0,1,0
256,boxborough,198536.91970959888,915314.8319573028,0,0,0,1,0
257,holden,170277.9623267535,900688.8142518327,2,1,2,0,1
258,methuen,225481.13783595106,942644.7346791895,20,12,14,14,11
259,ashfield,92641.66681900121,919669.2654931529,0,0,0,0,1
260,swansea,223998.22149487896,834558.7022902152,0,0,0,3,2
261,springfield,114035.75504403976,874422.0746838982,31,65,75,56,108
262,bedford,218224.31675414465,916290.4422434412,1,1,2,2,1
263,ashland,202586.87782709335,889643.8597785003,0,1,2,2,0
264,monroe,78571.10187934409,942395.2809144865,0,0,0,0,0
265,oakham,155009.85629781426,900091.7925480085,0,0,0,0,0
266,easthampton,103304.96305743397,891182.7399606938,2,1,2,2,4
267,north andover,233895.796118529,935721.4254794635,2,1,1,1,1
268,norton,226179.09628599708,857121.0502080538,3,1,1,3,4
269,hampden,124218.14242385296,868567.554667989,0,0,0,0,1
270,sunderland,113267.2835934644,913266.4165145739,0,0,1,1,1
271,leyden,107697.23172082713,938962.9056773313,0,0,0,0,0
272,huntington,88251.68899170164,893543.279940626,0,0,0,0,1
273,dudley,163977.31860091246,867269.7203064428,1,1,1,1,3
274,brookline,229607.06301986167,897148.055376817,0,3,2,4,3
275,west newbury,243435.3844929388,949390.9608670642,0,0,0,0,0
276,littleton,200896.00737721202,920496.8986073768,0,0,0,1,0
277,oak bluffs,276758.75594173657,798931.4027765697,0,2,1,1,1
278,rutland,161522.81473487677,903917.2136218695,0,0,0,0,1
279,mattapoisett,256863.71464401658,824571.1388977901,0,0,2,1,4
280,westport,234612.62214446004,816031.9002863371,2,0,1,5,3
281,haverhill,233781.79599493352,948223.185585771,30,25,37,24,24
282,heath,91813.70587695747,938495.7446951158,0,0,0,0,0
283,sudbury,206309.76154917353,903802.0127729891,0,0,0,0,0
284,rowley,249576.7218842007,941337.6829244379,0,0,0,2,1
285,whately,105842.89086339995,910387.8516589062,0,0,0,0,0
286,bourne,276722.52436627157,830748.3321822827,2,4,6,1,4
287,washington,63672.98380420228,903009.0186083905,0,0,0,0,0
288,williamstown,58360.814626579086,938565.1784770094,1,0,0,0,1
289,shelburne,102889.6141984973,928772.1557864357,1,0,0,0,0
290,aquinnah,258206.6648286632,787793.5676848757,0,0,0,0,0
291,east longmeadow,117309.86198298525,868192.3956055576,0,1,1,2,0
292,southampton,97761.94549575828,887450.8679246048,0,0,1,0,0
293,gardner,160043.9520635772,926108.7766016311,5,7,10,9,23
294,raynham,237850.22630793788,853531.5694509686,1,1,0,2,1
295,rockport,271925.13350673177,934132.0429477391,1,2,0,1,3
296,weston,216469.5269352321,900955.4082017466,0,0,1,1,0
297,monson,131660.04680307838,871769.9237728255,0,0,0,1,1
298,sandisfield,65784.13446646847,874382.6415854011,0,0,0,0,0
299,erving,123762.63179594748,928974.6897265258,0,0,0,0,0
300,monterey,57329.07295967748,883681.1547582275,0,0,0,0,0
301,west tisbury,270703.6337898481,794792.5233583669,1,0,1,0,0
302,townsend,182655.0503534587,935174.7471758374,0,0,0,4,2
303,winthrop,242527.45157253655,902921.5259797168,0,2,1,9,2
304,stockbridge,49573.04207664783,896285.6582210191,0,0,0,2,1
305,orleans,327070.44289283303,837001.5967429524,0,0,1,0,3
306,ayer,194108.18249621938,923585.6431383183,2,1,10,3,2
307,oxford,169695.68346185036,875412.5013691032,2,1,3,1,0
308,pittsfield,55189.962610845934,912736.866533435,14,19,22,14,21
309,hopkinton,196878.8473839678,886116.7838922847,1,3,1,3,3
310,russell,87880.44859100028,879984.0533436323,0,0,0,0,0
311,merrimac,239892.9958108642,954342.433103586,0,1,0,1,0
312,northbridge,187207.5509954831,875520.073302722,2,1,1,3,3
313,blandford,80045.5980019218,882845.3267865248,0,0,0,0,0
314,holliston,204543.21599794287,883034.4172192133,0,1,1,0,1
315,greenfield,109866.25601616097,929852.7669540186,4,10,5,4,11
316,grafton,184826.13096791165,884247.8350042921,1,2,0,0,2
317,blackstone,197412.48358787943,865503.3870167654,0,1,3,1,0
318,medford,232161.06493309364,908228.9748315013,14,14,15,14,6
319,lowell,214622.5042691681,932048.1772893125,53,67,78,59,72
320,beverly,252382.19914967456,924443.2323392901,12,14,28,17,12
321,gloucester,266444.4187048692,930811.7607797371,3,11,9,17,16
322,chester,81245.76500630938,894406.4145432129,0,0,0,0,0
323,winchester,229094.33926291222,911311.426065282,11,9,10,6,12
324,millville,193568.8259202856,865404.448504676,1,0,0,0,0
325,bridgewater,243522.58304400565,858184.8851093814,1,4,2,5,1
326,tolland,74142.37820898391,872382.457779565,0,0,0,0,1
327,canton,230865.73608951733,880585.1778727148,2,3,4,4,1
328,mashpee,284104.2972861142,819416.29677103,1,2,4,1,0
329,lynnfield,237940.72937661107,920667.1497145686,2,2,0,3,2
330,barnstable,294812.79524767667,825291.4498481341,19,25,30,23,34
331,dover,217811.84772752805,887372.7887780162,0,0,0,0,0
332,mendon,195742.26304349277,871401.7482388027,0,1,0,0,1
333,hudson,196172.65809811422,904242.626436784,0,4,2,2,3
334,westwood,223891.13560527214,885573.8687297489,0,1,2,0,0
335,holland,144880.53971901056,867967.2867669158,0,0,0,0,0
336,cambridge,231419.74382973852,902886.5672604514,18,24,41,21,19
337,walpole,220212.4506193068,877362.688498074,1,2,4,4,3
338,berlin,188840.1698269838,903705.8823907732,0,1,0,0,0
339,sharon,226216.86838552362,873174.1447848759,1,0,1,1,1
340,lynn,243897.9678584503,914328.9000321693,42,42,45,65,48
341,norwood,225208.81722711117,881778.3030385586,9,17,14,17,12
342,everett,236741.17118804858,906405.8322115534,35,43,40,34,28
343,wales,139308.82387202856,868249.9510332643,0,0,0,0,1
344,hopedale,197105.42973708286,874927.1802957309,0,0,2,0,1
345,topsfield,245718.76794988225,932003.1841191937,0,0,1,0,0
346,somerville,232788.79289714334,904530.7999002767,14,15,19,12,8
347,pembroke,257815.24487473883,868578.958233768,3,2,5,1,0
348,duxbury,264767.35483468213,866551.9369332927,0,0,2,0,0
349,boxford,239428.335083082,936879.4228877858,0,0,0,0,0
350,boston,233812.81796158623,896249.5242352656,167,226,259,279,245
