,city_death,tot_pop,pop_density,med_house_inc,mean_house_inc,less_than_hs_ed,mean_med_inc_desp,2014,2015,2016,2017,2018,Y14_Y15
24,belchertown,14906,367.0660500000001,87325.66666666667,105305.02638535477,6.549970322320104,17979.359718688116,1,0,1,3,6,-100.0
25,bellingham,16929,1266.5752444444443,96905.77777777778,116765.78432545734,5.784891173111067,19860.006547679535,2,2,1,1,2,0.0
26,belmont,25965,9164.324444444443,133904.22222222222,169356.88168527174,3.3132226028604546,35452.659463049575,1,1,1,2,1,0.0
27,berkley,6630,412.8376333333334,94247.66666666667,107201.58783799357,6.0575510352947965,12953.921171326903,1,0,2,2,1,-100.0
28,berlin,3098,220.97314999999998,90776.5,121826.9028195785,5.599193451306127,31050.402819578514,0,1,0,0,0,
29,bernardston,1074,86.64056,70500.0,82633.3333333333,2.406738868832732,12133.3333333333,0,0,0,0,0,
30,beverly,41431,6303.223469999998,87027.46428571429,112923.64809992803,5.8733930965758185,26393.909549574426,12,14,28,17,12,16.666666666666664
31,billerica,42791,2413.1209366666662,100865.35714285714,111088.3180768316,8.336212097836246,9978.884011357286,6,7,9,8,8,16.666666666666664
32,blackstone,9201,1754.223,73267.6,88997.39166895002,6.295022591807255,15729.791668950022,0,1,3,1,0,
33,blandford,1259,24.41106,62875.0,78223.8447319778,10.623084780388151,15348.844731977806,0,0,0,0,0,
34,bolton,5167,258.03845,149331.5,164037.83714528248,1.338020890750744,14706.337145282494,0,0,1,1,0,
35,boston,668541,27786.891612185278,71196.0495049505,92167.94052329108,13.85509350354437,22125.40186501259,167,226,259,279,245,35.32934131736527
36,bourne,19832,1009.7394199999999,69166.9375,91659.35790084311,3.5480409901973005,22492.420400843093,2,4,6,1,4,100.0
37,boxborough,5546,555.4300666666667,111916.33333333333,138245.35080914994,3.0483762557508385,26329.017475816596,0,0,0,1,0,
38,boxford,8228,352.30438,162762.6,204146.35700396338,2.578537306166852,41383.7570039634,0,0,0,0,0,
39,boylston,4524,477.316475,91662.75,114604.4399436983,3.478084968553846,22941.6899436983,0,1,0,0,0,
40,braintree,37082,4295.500269230769,87660.2,102959.95774705119,6.472979866188044,15906.060566217075,4,7,7,10,6,75.0
41,brewster,9856,491.87378888888895,71159.11111111111,93807.27444595686,2.543717681581567,22648.163334845754,0,1,1,1,0,
42,bridgewater,27434,1921.2091999999998,96327.5,113320.18273497929,5.884754766602165,16992.682734979277,1,4,2,5,1,300.0
43,brimfield,3724,110.1456,86875.0,95589.44559944549,5.942643537553112,8714.445599445498,0,0,0,0,2,
44,brockton,94602,7639.952115116283,59320.72151898734,69958.24249674237,18.7370576659782,11799.972147857718,45,88,69,71,51,95.55555555555556
45,brookfield,3406,237.35909999999998,63971.333333333336,86589.52895936577,12.773673207419828,22618.195626032433,0,0,0,2,1,
46,brookline,59246,17734.73334210526,120886.67567567568,163911.0914964759,3.2468329214877882,46183.3921070986,0,3,2,4,3,
47,buckland,1927,242.59716500000002,53202.0,65936.03454876065,10.072698607339932,12734.03454876065,0,0,0,0,0,
48,burlington,26103,2933.7361333333333,109413.13333333333,128491.74066488205,4.395776107706839,19078.607331548705,9,9,13,16,20,0.0
49,cambridge,110893,23758.97078409092,96468.08641975309,129963.8306557746,4.663807252740529,35813.32778945452,18,24,41,21,19,33.33333333333333
50,canton,22829,2375.343609090909,95860.09090909091,125642.42598347082,3.0550939282123952,29782.33507437989,2,3,4,4,1,50.0
51,carlisle,5160,344.63295,172634.0,252380.83414558452,2.2957821676454886,79746.83414558452,0,0,0,0,0,
52,carver,11617,421.10613750000005,79661.375,89054.10151703263,10.745445472347203,9392.72651703264,3,5,1,3,1,66.66666666666666
53,charlton,13379,325.24519999999995,89875.6,103546.55000397234,4.40767626371508,13670.950003972359,0,0,1,3,0,
54,chatham,5166,606.3080428571428,75654.5,96552.44946992517,2.5125937328730927,19539.84707661487,1,1,0,0,0,0.0
55,chelmsford,35067,1807.4419772727272,109074.0,128458.99825579357,4.472412880376054,21208.175843804518,1,3,3,5,3,200.0
56,chelsea,39272,30236.970333333335,55295.666666666664,65642.5878532573,30.469426545954523,10346.921186590627,8,11,10,9,13,37.5
57,cheshire,3169,386.23591333333326,63138.0,75714.10474621,6.5730703251185,12576.104746210001,0,0,0,0,3,
58,chester,1529,41.76057,76250.0,83045.2991452991,9.254267744833783,6795.299145299097,0,0,0,0,0,
59,chesterfield,1303,42.22868,74412.0,91023.41269841269,8.922742110990207,16611.412698412692,0,0,0,0,0,
60,chicopee,55778,4493.041004651164,52445.87804878049,62467.644993719136,15.232281107072914,10322.948992724901,5,8,16,10,17,60.0
61,chilmark,446,49.73381,79375.0,176154.166666667,1.1940298507462686,96779.166666667,1,0,0,0,0,-100.0
62,clarksburg,1722,162.10163,60558.0,72516.15109427611,7.240061747993738,11958.151094276102,0,0,0,1,0,
63,clinton,13855,3736.49708,70263.3,77832.41529677517,8.701947636442833,7569.11529677518,5,8,6,2,6,60.0
64,cohasset,7429,1201.5759000000003,157385.6,201613.461970223,2.3732217662281974,44227.861970223,2,0,1,0,0,-100.0
65,colrain,1146,41.52236,54828.0,68594.22310756969,6.25,13766.223107569691,0,0,0,0,0,
66,concord,19357,1384.6776307692307,144727.08333333334,196529.49627055108,3.120909897431709,46835.05803459359,1,3,2,3,4,200.0
67,conway,1800,47.760329999999996,100398.0,125280.24691358,0.8233532934131736,24882.246913580006,0,0,0,0,0,
68,cummington,860,37.54762,52500.0,63629.767441860495,2.39880059970015,11129.767441860495,0,0,0,0,0,
69,dalton,6657,1599.0811142857144,58240.42857142857,76390.73019988547,3.8868177589516435,18150.3016284569,0,0,1,0,0,
70,danvers,27527,2977.3029,79914.5,99928.11176055811,5.894196756824107,20013.611760558102,3,7,3,3,4,133.33333333333331
71,dartmouth,34341,1379.237868421053,80627.11111111111,104840.41480678407,14.297671883980824,25178.929779430677,3,3,7,3,4,0.0
72,dedham,25377,4373.652399999999,98110.0,118015.1259464848,6.799550498980198,19905.125946484786,2,2,4,0,6,0.0
73,deerfield,5049,315.86104249999994,77957.25,91878.37927498162,3.77126713223877,13921.129274981626,0,0,0,0,0,
74,dennis,13804,878.4687588235292,57724.9375,80706.95671227128,3.4796885524176724,24222.601386700913,4,3,4,2,2,-25.0
75,dighton,7438,473.33113999999995,93969.4,100704.46307995747,6.531731172082916,6735.06307995746,0,0,2,1,1,
76,douglas,8722,346.256475,96363.25,106461.69671202298,3.8946506617002408,10098.446712022997,0,2,2,1,1,
77,dover,5922,543.316375,203026.75,316351.85877350374,1.1016143518680523,113325.10877350374,0,0,0,0,0,
78,dracut,31113,2552.8675,92849.8125,97360.42608425539,9.22132179424765,10173.547157548363,3,7,4,3,7,133.33333333333331
79,dudley,11637,1258.6627142857142,72832.85714285714,90800.5837828491,8.25084379877315,17967.726639991954,1,1,1,1,3,0.0
80,dunstable,3337,195.47975,139333.5,166618.936385033,4.442123961784051,27285.436385032997,0,0,0,0,0,
81,duxbury,14637,913.6414777777778,126754.55555555556,164756.5710882459,1.0981990931102292,38002.01553269033,0,0,2,0,0,
82,east bridgewater,14860,1006.2316999999999,91721.6,104749.52226688885,4.89556735976233,13027.92226688884,0,0,1,1,3,
83,east brookfield,956,115.7918,87917.0,113365.489130435,8.05084745762712,25448.489130435002,0,0,0,0,0,
84,east longmeadow,16156,1757.3222888888888,82912.44444444444,98052.2911793245,5.616586540698343,15139.846734880062,0,1,1,2,0,
85,eastham,4908,389.87445,63265.333333333336,78360.21336767358,3.920083553211034,15094.880034340254,2,1,0,1,0,-50.0
86,easthampton,16051,2836.0722,64142.63636363636,76639.38825261303,4.909309802196355,13737.994976876547,2,1,2,2,4,-50.0
87,easton,24001,876.5094727272729,109638.72727272728,128540.60581047097,4.272635923774721,18901.878537743665,4,4,3,3,4,0.0
88,edgartown,4292,226.9134525,97503.5,196054.97580698578,6.288192258660957,98551.47580698578,0,0,0,0,1,
89,erving,1498,141.7503,67596.0,71068.6567164179,5.125899280575539,3472.6567164178996,0,0,0,0,0,
90,essex,3687,348.47900000000004,111547.66666666667,131712.14141911632,1.754028444169289,20164.474752449663,0,0,0,0,0,
91,everett,45212,20555.43562962963,57043.96,70511.3952050871,20.253256025380935,13609.600713086407,35,43,40,34,28,22.857142857142858
