town,generic_name,year,total_claim_count,total_30_day_fill_count,total_day_supply,total_drug_cost
barre,alprazolam,2013,54,56.0,1496,452.77
barre,alprazolam,2014,94,94.0,2697,720.78
barre,alprazolam,2015,94,100.0,2893,619.5799999999999
barre,alprazolam,2016,102,104.0,3047,617.3799999999999
barre,alprazolam,2017,96,100.0,2909,975.6899999999999
barre,diazepam,2013,146,151.6,3980,944.67
barre,diazepam,2014,200,208.0,5459,1025.62
barre,diazepam,2015,295,303.3,7775,1304.4899999999998
barre,diazepam,2016,257,267.0,7156,1426.4099999999999
barre,diazepam,2017,331,339.0,8982,2026.7
barre,lorazepam,2013,279,285.0,7101,2998.55
barre,lorazepam,2014,276,282.0,7655,2462.35
barre,lorazepam,2015,355,361.0,9262,2764.3600000000006
barre,lorazepam,2016,408,426.0,10658,3220.01
barre,lorazepam,2017,435,443.9,11099,3572.04
bedford,alprazolam,2015,32,32.0,960,174.22
bedford,alprazolam,2016,48,50.0,1405,321.88
bedford,alprazolam,2017,48,48.0,1217,362.96
bedford,diazepam,2013,20,20.0,600,95.96
bedford,diazepam,2014,34,34.0,987,136.20999999999998
bedford,diazepam,2015,15,17.0,510,47.15
bedford,lorazepam,2013,171,179.3,5076,1460.6599999999999
bedford,lorazepam,2014,186,194.0,5428,1339.85
bedford,lorazepam,2015,166,178.0,4729,1363.8700000000001
bedford,lorazepam,2016,117,125.0,3152,580.0
bedford,lorazepam,2017,207,210.0,5278,1382.6599999999999
belchertown,alprazolam,2013,152,186.0,5025,1839.09
belchertown,alprazolam,2014,167,198.0,5469,1475.7900000000002
belchertown,alprazolam,2015,145,160.0,4298,1198.03
belchertown,alprazolam,2016,197,209.3,5552,1148.8600000000001
belchertown,alprazolam,2017,129,149.0,4079,919.17
belchertown,diazepam,2013,52,52.0,1276,897.66
belchertown,diazepam,2014,96,100.3,2563,867.9699999999999
belchertown,diazepam,2015,165,166.3,4422,1539.04
belchertown,diazepam,2016,166,168.0,4369,1792.9
belchertown,diazepam,2017,116,121.6,3231,595.53
belchertown,lorazepam,2013,609,646.2,13989,5440.4
belchertown,lorazepam,2014,776,813.4,18294,7130.860000000001
belchertown,lorazepam,2015,806,841.2,19466,6738.03
belchertown,lorazepam,2016,939,964.9,24311,5559.099999999999
belchertown,lorazepam,2017,924,930.4,21767,5488.599999999999
bellingham,alprazolam,2013,91,104.5,2740,483.3999999999999
bellingham,alprazolam,2014,97,108.0,2788,571.7
bellingham,alprazolam,2015,78,78.0,1852,372.93
bellingham,alprazolam,2016,115,117.0,2780,707.17
bellingham,alprazolam,2017,49,49.0,974,208.07
bellingham,diazepam,2014,58,72.0,1957,270.19
bellingham,diazepam,2015,59,74.0,2204,294.76
bellingham,diazepam,2016,51,62.6,1798,294.11
bellingham,diazepam,2017,22,22.0,598,111.66
bellingham,lorazepam,2013,83,121.0,3192,504.33
bellingham,lorazepam,2014,143,163.2,4356,699.68
bellingham,lorazepam,2015,154,173.0,4507,1176.79
bellingham,lorazepam,2016,243,260.0,6292,1394.27
bellingham,lorazepam,2017,170,186.0,4266,1265.13
belmont,alprazolam,2013,514,554.5,16194,4736.959999999999
belmont,alprazolam,2014,501,556.7,15717,4329.83
belmont,alprazolam,2015,1065,1121.5,28275,7987.799999999999
belmont,alprazolam,2016,573,616.6,17583,3829.1800000000003
belmont,alprazolam,2017,529,568.2,15242,4069.2200000000003
belmont,diazepam,2013,233,241.0,5292,6751.73
belmont,diazepam,2014,247,248.0,5462,6119.2699999999995
belmont,diazepam,2015,350,354.0,8002,8763.06
belmont,diazepam,2016,258,262.7,5754,7158.69
belmont,diazepam,2017,248,251.0,5253,8496.630000000001
belmont,lorazepam,2013,1935,2092.8999999999996,57344,16312.509999999997
belmont,lorazepam,2014,1940,2047.9000000000003,54865,13225.559999999996
belmont,lorazepam,2015,2549,2675.2000000000003,71050,18249.46
belmont,lorazepam,2016,2111,2192.3,60444,13908.449999999997
belmont,lorazepam,2017,2069,2178.7,58416,14050.400000000001
berkley,alprazolam,2015,29,29.0,486,169.57
berkley,alprazolam,2016,38,38.0,1049,213.84
berkley,alprazolam,2017,26,26.0,710,202.76
berkley,lorazepam,2013,17,17.0,301,207.02
berkley,lorazepam,2015,110,110.0,2853,967.01
berkley,lorazepam,2016,130,130.0,3330,1121.58
berkley,lorazepam,2017,83,83.0,1839,959.54
berlin,alprazolam,2017,25,25.0,639,195.69
berlin,lorazepam,2017,55,55.0,1371,557.81
bernardston,lorazepam,2016,18,18.0,201,45.62
beverly,alprazolam,2013,756,800.0,21263,4707.3
beverly,alprazolam,2014,732,771.2,21026,4037.609999999999
beverly,alprazolam,2015,763,834.4,22691,4138.17
beverly,alprazolam,2016,830,918.8,25567,4364.05
beverly,alprazolam,2017,829,910.5,24773,4574.21
beverly,diazepam,2013,471,507.5,11441,3839.45
beverly,diazepam,2014,362,400.8,10063,1595.3099999999997
beverly,diazepam,2015,377,396.0,9836,1632.5199999999995
beverly,diazepam,2016,380,413.3,10051,7852.81
beverly,diazepam,2017,338,365.0,8961,7072.150000000001
beverly,lorazepam,2013,2294,2538.2999999999997,61280,16912.940000000006
beverly,lorazepam,2014,2192,2431.3999999999996,60402,14149.61
beverly,lorazepam,2015,2578,2794.1,68852,14558.819999999998
beverly,lorazepam,2016,2712,2932.5,71481,14266.279999999999
beverly,lorazepam,2017,2538,2716.8,64865,12954.630000000003
billerica,alprazolam,2013,382,463.5,12917,2817.3099999999995
billerica,alprazolam,2014,366,476.5,13680,2212.44
billerica,alprazolam,2015,346,424.0,11805,2352.0600000000004
billerica,alprazolam,2016,432,507.5,14139,3027.42
billerica,alprazolam,2017,369,437.0,11691,2107.46
billerica,diazepam,2013,100,104.0,2555,1632.1000000000001
billerica,diazepam,2014,148,158.5,3500,6085.19
billerica,diazepam,2015,100,110.0,2784,2398.47
billerica,diazepam,2016,114,114.0,3054,2010.0800000000004
billerica,diazepam,2017,133,144.5,3591,1949.97
billerica,lorazepam,2013,907,1068.0,29365,7310.810000000001
billerica,lorazepam,2014,685,819.3,22560,4638.99
billerica,lorazepam,2015,705,866.8999999999999,23284,4106.7300000000005
billerica,lorazepam,2016,818,1025.7,27281,5021.55
billerica,lorazepam,2017,759,945.5999999999999,25263,3769.32
bolton,alprazolam,2014,11,11.0,107,36.7
bolton,alprazolam,2016,15,15.0,427,42.62
bolton,alprazolam,2017,36,36.0,1031,174.46
bolton,diazepam,2016,12,12.0,331,114.35
bolton,diazepam,2017,15,15.0,426,136.33
bolton,lorazepam,2013,19,19.0,469,84.89
bolton,lorazepam,2014,19,19.0,374,76.38
bolton,lorazepam,2016,13,13.0,390,115.65
bolton,lorazepam,2017,20,20.0,539,41.59
boston,alprazolam,2013,9748,10566.400000000003,295237,83815.67999999993
boston,alprazolam,2014,11142,12177.899999999998,335734,87387.69000000003
boston,alprazolam,2015,11225,12162.899999999998,331248,86825.86000000002
boston,alprazolam,2016,11780,13080.400000000001,361985,91536.16999999998
boston,alprazolam,2017,12443,13636.199999999999,375265,89292.61000000003
boston,diazepam,2013,7912,8267.9,217315,79766.18
boston,diazepam,2014,8148,8510.900000000001,223732,78731.10000000005
boston,diazepam,2015,7883,8302.0,220164,58312.339999999946
boston,diazepam,2016,8259,8752.599999999999,228581,70319.03000000001
boston,diazepam,2017,8595,9084.8,227475,96881.2
boston,lorazepam,2013,37963,40970.700000000026,1057636,333598.1899999997
boston,lorazepam,2014,40405,43964.100000000006,1145546,320439.6200000007
boston,lorazepam,2015,41756,45360.90000000002,1168966,390594.5299999997
boston,lorazepam,2016,45349,49198.30000000001,1247555,358872.0799999999
boston,lorazepam,2017,46168,50143.90000000002,1252704,334466.1799999996
bourne,alprazolam,2013,261,299.2,8607,1931.21
bourne,alprazolam,2014,152,177.0,5113,1125.32
bourne,alprazolam,2015,137,146.2,4162,1212.8
bourne,alprazolam,2016,128,137.9,3483,1110.82
bourne,alprazolam,2017,123,127.7,3380,755.8000000000001
bourne,diazepam,2013,68,76.0,2077,482.04999999999995
bourne,diazepam,2014,29,31.0,859,133.8
bourne,diazepam,2015,37,49.0,1411,171.69
bourne,diazepam,2016,27,27.0,742,163.0
bourne,diazepam,2017,51,51.0,1107,262.36
bourne,lorazepam,2013,476,557.4,15052,3419.2500000000005
bourne,lorazepam,2014,377,471.3,13007,2607.2299999999996
bourne,lorazepam,2015,308,377.0,10349,2157.8399999999997
bourne,lorazepam,2016,239,274.7,7058,1658.69
bourne,lorazepam,2017,252,266.1,6773,1244.76
boxford,alprazolam,2013,141,142.3,2686,926.01
boxford,alprazolam,2014,101,103.0,2560,655.61
boxford,alprazolam,2015,21,21.0,606,207.28
boxford,alprazolam,2016,58,66.0,1561,400.24
boxford,alprazolam,2017,123,131.0,3110,964.2199999999999
boxford,diazepam,2013,63,65.0,1518,233.04000000000002
boxford,diazepam,2014,26,28.0,448,165.69
boxford,diazepam,2016,12,12.0,280,67.85
boxford,diazepam,2017,21,21.0,460,133.43
boxford,lorazepam,2013,279,279.0,5414,3355.9099999999994
boxford,lorazepam,2014,221,223.0,4651,1855.26
boxford,lorazepam,2015,125,125.0,2594,1399.57
boxford,lorazepam,2016,177,177.3,3842,1744.71
boxford,lorazepam,2017,404,406.09999999999997,8055,3711.7000000000003
braintree,alprazolam,2013,1210,1294.6999999999998,36129,10099.02
braintree,alprazolam,2014,1221,1291.9,34974,8917.72
braintree,alprazolam,2015,1189,1259.0000000000002,34464,8834.510000000002
braintree,alprazolam,2016,1151,1251.2,32803,11376.550000000001
braintree,alprazolam,2017,1231,1333.5,36154,11145.279999999999
braintree,diazepam,2013,541,567.5,14902,3199.0099999999998
braintree,diazepam,2014,516,546.5,14041,2669.5299999999997
braintree,diazepam,2015,467,479.5,12278,1917.26
braintree,diazepam,2016,486,499.8,12928,1991.23
braintree,diazepam,2017,576,591.8,16176,3827.79
braintree,lorazepam,2013,3254,3583.6,93494,25965.810000000012
braintree,lorazepam,2014,3585,3973.3,103988,23966.220000000005
braintree,lorazepam,2015,3713,4124.599999999999,107019,22947.80000000001
braintree,lorazepam,2016,3901,4291.3,110261,20439.13
braintree,lorazepam,2017,4342,4778.6,122660,21649.060000000005
brewster,alprazolam,2013,245,296.0,7892,1417.07
brewster,alprazolam,2014,287,355.0,9770,1286.4900000000002
brewster,alprazolam,2015,309,398.5,11013,1300.8899999999999
brewster,alprazolam,2016,319,427.0,12022,1611.99
brewster,alprazolam,2017,355,471.5,13352,2175.46
brewster,diazepam,2013,92,100.0,2425,742.48
brewster,diazepam,2014,118,135.5,3435,1372.77
brewster,diazepam,2015,159,177.7,4628,1196.12
brewster,diazepam,2016,168,187.0,4696,1162.53
brewster,diazepam,2017,172,195.0,4713,1548.2700000000002
brewster,lorazepam,2013,531,585.0,15333,3419.1600000000003
brewster,lorazepam,2014,520,604.0,15903,2973.08
brewster,lorazepam,2015,572,687.5,18473,3171.8999999999996
brewster,lorazepam,2016,644,738.2,19753,3804.61
brewster,lorazepam,2017,654,749.2,20399,3588.9199999999996
bridgewater,alprazolam,2013,743,752.0,20211,5501.62
bridgewater,alprazolam,2014,719,724.0,19835,4584.16
bridgewater,alprazolam,2015,444,474.0,12153,2550.42
bridgewater,alprazolam,2016,481,564.0,14806,4115.38
bridgewater,alprazolam,2017,440,506.3,13510,3120.87
bridgewater,diazepam,2013,135,135.0,3933,744.3199999999999
bridgewater,diazepam,2014,154,158.0,4408,718.05
bridgewater,diazepam,2015,135,141.0,3611,5902.169999999999
bridgewater,diazepam,2016,120,138.0,3336,6238.85
bridgewater,diazepam,2017,157,173.0,4174,7495.2
bridgewater,lorazepam,2013,582,612.0,16717,5786.31
bridgewater,lorazepam,2014,531,566.0,14872,4738.87
bridgewater,lorazepam,2015,338,374.0,9330,3262.11
bridgewater,lorazepam,2016,328,361.7,9257,2675.4000000000005
bridgewater,lorazepam,2017,403,440.0,10872,2955.0400000000004
brimfield,alprazolam,2013,52,58.0,1599,294.21
brimfield,alprazolam,2014,75,77.0,2107,424.25
brimfield,alprazolam,2015,38,54.0,1600,332.06
brimfield,diazepam,2013,18,18.0,415,95.91
brimfield,diazepam,2014,20,24.0,643,842.34
brimfield,lorazepam,2013,116,132.0,3362,1217.53
brimfield,lorazepam,2014,81,103.0,2560,810.89
brimfield,lorazepam,2015,58,62.0,1391,271.41
brimfield,lorazepam,2016,66,94.0,2646,680.2
brockton,alprazolam,2013,4267,4843.9,133589,43547.22000000001
brockton,alprazolam,2014,5018,5594.900000000001,153830,43384.71
brockton,alprazolam,2015,5838,6461.899999999999,180066,48882.33000000001
brockton,alprazolam,2016,6202,6947.3,194889,39868.590000000004
brockton,alprazolam,2017,5764,6519.800000000001,182624,38364.65000000001
brockton,diazepam,2013,1768,1856.4,49352,13601.230000000003
brockton,diazepam,2014,1696,1782.0,48766,12599.329999999996
brockton,diazepam,2015,1673,1768.0,48985,10826.719999999996
brockton,diazepam,2016,1688,1758.6000000000001,49186,11834.390000000001
brockton,diazepam,2017,1511,1591.2,42626,10536.700000000003
brockton,lorazepam,2013,7548,8368.0,230204,90272.17000000003
brockton,lorazepam,2014,8071,8988.099999999999,247125,87440.0
brockton,lorazepam,2015,8557,9564.9,266105,120924.49000000003
