uniq_name,absenteeism,air_pollution_-_particulate_matter,binge_drinking,breast_cancer_deaths,cardiovascular_disease_deaths,children_in_poverty,colorectal_cancer_deaths,dental_care,diabetes,frequent_mental_distress,frequent_physical_distress,high_blood_pressure,high_school_graduation,"housing_cost,_excessive",housing_with_potential_lead_risk,income_inequality,lead_exposure_risk_index,life_expectancy,limited_access_to_healthy_foods,low_birthweight,neighborhood_racial/ethnic_segregation,obesity,opioid_overdose_deaths,park_access,physical_inactivity,premature_deaths_(all_causes),prenatal_care,preventive_services,racial/ethnic_diversity,smoking,teen_births,third-grade_reading_proficiency,unemployment,uninsured,violent_crime,walkability
NH_Manchester,27.4,6.9,17.9,14.5,188.8,21.4,13.0,64.0,9.0,13.4,12.8,28.5,78.2,40.0,32.1,-7.8,8.0,77.6,77.4,7.3,8.9,29.5,68.8,61.2,24.6,9400.0,80.2,35.0,47.6,20.8,24.7,30.5,5.5,12.8,675.9,48.4
NH_Nashua,24.9,7.0,17.6,15.0,149.8,15.7,15.8,67.9,8.9,12.1,11.9,28.3,87.4,34.4,21.4,3.7,5.0,79.7,78.5,,9.2,28.2,39.8,53.3,22.8,7000.0,,36.8,55.5,18.2,,46.9,5.5,9.5,171.9,37.0
NJ_Camden,28.6,10.6,12.7,35.7,252.7,48.3,20.9,43.1,15.6,18.3,19.0,37.1,73.9,50.1,39.7,-44.5,10.0,73.0,32.8,,13.2,42.9,,93.7,46.7,14400.0,,19.3,65.5,26.0,,15.6,14.0,16.5,1923.6,70.3
NJ_Clifton,7.2,9.7,16.8,24.7,187.6,14.8,17.7,71.4,8.8,11.2,11.5,30.7,87.1,44.3,35.0,7.9,7.0,80.0,40.9,,11.0,27.8,9.4,87.3,29.3,4600.0,,31.6,73.8,16.1,,40.8,4.8,13.3,215.0,62.8
NJ_Elizabeth,15.6,9.8,14.3,18.6,176.2,26.0,18.3,55.6,12.0,14.6,15.8,32.2,79.5,53.4,30.9,-17.8,9.0,79.4,15.0,8.1,9.7,34.5,16.8,90.4,40.3,6500.0,,24.6,65.4,20.3,25.1,30.3,8.7,25.3,807.5,80.9
NJ_Jersey City,18.3,10.0,15.4,19.6,181.9,27.7,16.0,65.3,9.1,11.7,11.7,28.8,81.2,43.2,34.3,0.7,9.0,78.4,3.1,9.5,17.0,27.8,14.4,92.4,32.9,6600.0,,24.5,91.3,16.9,20.9,38.5,7.3,15.9,521.7,87.3
NJ_Newark,29.7,9.8,13.6,31.0,223.6,39.5,21.4,56.3,13.4,15.8,16.7,35.0,80.8,56.5,30.3,-31.6,9.0,76.6,9.6,10.4,31.0,36.4,34.8,93.0,41.7,10500.0,,23.3,70.2,22.9,29.1,31.6,14.8,23.3,907.8,80.4
NJ_Passaic,20.4,9.8,14.4,18.4,166.2,44.3,17.7,50.9,12.4,15.8,16.7,31.9,78.5,59.6,38.2,-30.1,10.0,79.2,6.9,,21.6,36.8,9.0,81.9,43.6,5200.0,,21.6,53.3,21.7,,17.3,6.2,27.0,552.9,82.8
NJ_Paterson,27.6,9.6,13.7,22.7,164.3,40.3,19.5,52.0,13.6,15.7,16.9,35.8,88.3,57.2,34.7,-30.2,10.0,77.4,14.3,10.5,16.5,39.1,21.8,72.0,43.3,7900.0,,21.0,64.6,22.4,40.2,23.5,6.4,21.3,699.8,81.3
NJ_Trenton,1.4,9.5,14.4,23.8,238.8,38.3,17.4,52.8,13.7,17.0,17.8,35.4,71.3,48.5,50.6,-30.9,10.0,74.9,40.9,,18.9,38.9,22.0,88.7,42.2,11500.0,,22.0,70.0,23.8,,18.5,13.0,22.6,1280.8,72.3
