city_death,2014,2015,2016,2017,2018,tot_pop_13,tot_pop_14,tot_pop_15,tot_pop_16,tot_pop_17,over_65_count,over_65_prop,med_house_inc,mean_house_inc,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop,urb_v_rur,town_status
chatham,1,1,0,0,0,5235.714285714285,5218.285714285715,5200.857142857143,5183.428571428572,5166,2217,0.4291521486643438,75654.5,96552.44946992517,3.1280547409579667,0.1011325253328035,0.09735744089012517,rural,shrunk
chelmsford,1,3,3,5,3,34344.142857142855,34524.857142857145,34705.57142857143,34886.28571428572,35067,7918,0.22579633273447972,109074.0,128458.99825579357,4.194027517198249,0.036056660466447274,0.05766204034912004,rural,grown
chelsea,8,11,10,9,13,36932.0,37517.0,38102.0,38687.0,39272,4121,0.1049348136076594,55295.666666666664,65642.5878532573,30.195395627781004,0.19527891471670913,0.2508816639637552,rural,grown
cheshire,0,0,0,0,3,3206.714285714286,3197.285714285714,3187.8571428571427,3178.4285714285716,3169,979,0.3089302619122752,63138.0,75714.10474621,6.530782029950084,0.039760176711896494,0.1167560744714421,rural,uncertain
chester,0,0,0,0,0,1419.2857142857142,1446.7142857142858,1474.142857142857,1501.5714285714287,1529,228,0.14911706998037932,76250.0,83045.2991452991,9.254267744833783,0.0641958967571145,0.14096624751819986,rural,grown
chesterfield,0,0,0,0,0,1256.7142857142858,1268.2857142857142,1279.857142857143,1291.4285714285713,1303,217,0.16653875671527243,74412.0,91023.41269841269,8.922742110990207,0.059094397544128936,0.09363008442056792,rural,grown
chicopee,5,8,16,10,17,55503.71428571428,55572.28571428572,55640.857142857145,55709.42857142857,55778,11408,0.20452508157338017,52445.87804878049,62467.644993719136,14.611280487804878,0.14442948624654345,0.19636879639062726,urban,grown
chilmark,1,0,0,0,0,452.2857142857143,450.7142857142857,449.14285714285717,447.57142857142856,446,96,0.21524663677130046,79375.0,176154.166666667,1.1940298507462686,0.18181818181818182,0.03636363636363636,rural,uncertain
clarksburg,0,0,0,1,0,1710.5714285714287,1713.4285714285713,1716.2857142857142,1719.142857142857,1722,494,0.2868757259001161,60558.0,72516.15109427611,7.096774193548387,0.0954043048283886,0.13263525305410123,rural,uncertain
clinton,5,8,6,2,6,13712.714285714286,13748.285714285714,13783.857142857143,13819.42857142857,13855,2080,0.15012630819198844,70263.3,77832.41529677517,7.5829383886255926,0.05968639352554375,0.12717681913433052,rural,grown
cohasset,2,0,1,0,0,6743.285714285715,6914.714285714286,7086.142857142857,7257.571428571428,7429,1327,0.1786243101359537,157385.6,201613.461970223,1.9242096995876694,0.037308370641703975,0.042463709130375796,rural,grown
colrain,0,0,0,0,0,1174.0,1167.0,1160.0,1153.0,1146,230,0.2006980802792321,54828.0,68594.22310756969,6.25,0.12041884816753927,0.0924956369982548,rural,uncertain
concord,1,3,2,3,4,18391.85714285714,18633.14285714286,18874.428571428572,19115.714285714286,19357,4384,0.22648137624631917,144727.08333333334,196529.49627055108,5.400359066427289,0.0625,0.03521369485294118,rural,grown
conway,0,0,0,0,0,1855.4285714285713,1841.5714285714287,1827.7142857142858,1813.857142857143,1800,448,0.24888888888888888,100398.0,125280.24691358,0.8233532934131736,0.022573363431151242,0.06489841986455983,rural,shrunk
cummington,0,0,0,0,0,866.8571428571429,865.1428571428571,863.4285714285714,861.7142857142857,860,253,0.2941860465116279,52500.0,63629.767441860495,2.39880059970015,0.052570093457943924,0.26401869158878505,rural,uncertain
dalton,0,0,1,0,0,6713.571428571428,6699.428571428572,6685.285714285715,6671.142857142857,6657,1528,0.2295328225927595,58240.42857142857,76390.73019988547,4.582683307332293,0.10349564951915738,0.08594107769806136,rural,shrunk
