town,x,y
falmouth,-73.65216122636414,34.24474225197435
hubbardston,-73.6521766581589,34.24474988199629
fairhaven,-73.65216424397052,34.2447426000288
sandwich,-73.65216010364611,34.24474334453182
marshfield,-73.65216268847915,34.24474686406535
goshen,-73.65218526296006,34.24474933261321
northborough,-73.65217275523483,34.244748528438286
acushnet,-73.65216457884793,34.244743257235605
marion,-73.65216311322428,34.24474324591397
burlington,-73.65216803476945,34.24475022681776
lenox,-73.65219029247514,34.24474859419777
hawley,-73.65218637759284,34.24475058145961
becket,-73.65218819668861,34.24474786376404
great barrington,-73.65219095415156,34.24474714489572
rowe,-73.65218647681338,34.24475159640192
middlefield,-73.65218748877814,34.24474847211081
groton,-73.65217192224381,34.24475114176301
truro,-73.65215567175034,34.244746097643954
winchendon,-73.65217717675739,34.244751506093465
wellfleet,-73.65215510272427,34.24474534972062
ashburnham,-73.65217584631732,34.24475146446338
amesbury,-73.65216535543881,34.24475341741798
hancock,-73.65219080679073,34.244750010034004
westborough,-73.65217239429968,34.24474804455805
nahant,-73.65216504077333,34.2447496352367
wenham,-73.65216462030882,34.24475117976153
west bridgewater,-73.65216601192684,34.24474597358616
carlisle,-73.65216964001226,34.24475044209935
saugus,-73.65216601406671,34.24474997273875
lexington,-73.65216832074717,34.24474971582481
lanesborough,-73.65218994246004,34.244750031947945
plainfield,-73.65218654867533,34.24474998026267
sturbridge,-73.65217747296674,34.24474650357928
belmont,-73.65216775676005,34.244749284050165
gosnold,-73.65216339807394,34.24474105279833
peru,-73.65218777074473,34.24474916228254
sherborn,-73.65216981833453,34.24474779500111
middleborough,-73.65216433635122,34.24474474835214
fall river,-73.65216670485547,34.244743207316496
warwick,-73.65218031714653,34.24475153242489
milton,-73.65216669122695,34.24474792393781
adams,-73.65218867084316,34.24475090851018
millis,-73.65216966353307,34.2447472187766
brimfield,-73.65217872382183,34.2447466653747
west stockbridge,-73.652191482671,34.244748020747245
danvers,-73.65216534100435,34.244750931657116
otis,-73.65218820016982,34.244747138120594
colrain,-73.65218436480744,34.244751503676845
northfield,-73.65218145032506,34.244751497008615
plympton,-73.65216366339432,34.2447455051508
berkley,-73.65216646805301,34.24474431000708
kingston,-73.65216300997916,34.24474572139745
montague,-73.65218218875799,34.24475040133816
tyngsborough,-73.65217051335783,34.24475163993549
malden,-73.65216645499848,34.244749619771824
stoneham,-73.65216689257873,34.24474999997024
northampton,-73.65218381316222,34.24474832787846
braintree,-73.65216580191299,34.24474760593902
scituate,-73.65216320240036,34.24474761995476
bellingham,-73.65217083775576,34.24474637616879
dunstable,-73.65217128480758,34.24475171570173
savoy,-73.65218759640065,34.24475065778029
arlington,-73.65216759512128,34.2447494900096
hardwick,-73.65217888008037,34.24474868270618
mount washington,-73.65219226259956,34.24474607182235
ashby,-73.65217475398656,34.24475164418545
hull,-73.6521645338885,34.2447483829581
lawrence,-73.65216765771852,34.24475200466221
ludlow,-73.65218144887609,34.24474717539713
norfolk,-73.65216929402015,34.24474675296961
whitman,-73.65216509488283,34.244746516436216
clarksburg,-73.65218859257179,34.244751801897515
paxton,-73.65217583584112,34.24474835477099
westfield,-73.65218463909876,34.24474662677573
salem,-73.65216482247435,34.24475037685513
marlborough,-73.65217169364934,34.244748785232005
belchertown,-73.65218085228118,34.24474796204628
freetown,-73.6521658027345,34.24474374152093
florida,-73.65218756446436,34.24475140968913
worthington,-73.6521867123364,34.24474888113383
norwell,-73.65216380288862,34.24474726514372
brewster,-73.65215562541961,34.24474373419251
edgartown,-73.65216061491513,34.2447403596936
clinton,-73.65217323750264,34.244749311443535
stow,-73.65217133546429,34.24474951144231
attleboro,-73.65216887134292,34.24474510697513
harwich,-73.65215562580757,34.244743281416426
stoughton,-73.65216684737634,34.24474683005459
somerset,-73.6521673307147,34.244743517229466
newbury,-73.65216460726235,34.24475269999772
hanover,-73.65216421105198,34.24474691383951
uxbridge,-73.65217259556547,34.24474617396849
hadley,-73.6521826887021,34.24474861056211
north adams,-73.65218866362822,34.244751422819796
mansfield,-73.65216807494676,34.24474588445522
bernardston,-73.65218256245308,34.24475161532146
dracut,-73.65216914030385,34.24475182195335
shutesbury,-73.65218110405962,34.24474954604367
franklin,-73.65217016483133,34.244746465737784
westminster,-73.65217557453036,34.244750507236695
leominster,-73.65217415787214,34.24475026581871
