,city_death,year,death_count_next_year,over_65_count,over_65_prop,med_house_inc,mean_house_inc,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop,urb_v_rur,town_status
41,andover,2014,2,5881,0.16624734982332154,135314.05,174570.49906727744,2.6285172577239626,0.04442355153367023,0.044012222352802916,rural,grown
42,andover,2015,3,5881,0.16624734982332154,135314.05,174570.49906727744,2.6285172577239626,0.04442355153367023,0.044012222352802916,rural,grown
43,andover,2016,2,5881,0.16624734982332154,135314.05,174570.49906727744,2.6285172577239626,0.04442355153367023,0.044012222352802916,rural,grown
44,andover,2017,2,5881,0.16624734982332154,135314.05,174570.49906727744,2.6285172577239626,0.04442355153367023,0.044012222352802916,rural,grown
45,aquinnah,2013,0,66,0.103125,80250.0,103304.316546763,9.667673716012084,0.2171875,0.05,rural,grown
46,aquinnah,2014,0,66,0.103125,80250.0,103304.316546763,9.667673716012084,0.2171875,0.05,rural,grown
47,aquinnah,2015,0,66,0.103125,80250.0,103304.316546763,9.667673716012084,0.2171875,0.05,rural,grown
48,aquinnah,2016,0,66,0.103125,80250.0,103304.316546763,9.667673716012084,0.2171875,0.05,rural,grown
49,aquinnah,2017,0,66,0.103125,80250.0,103304.316546763,9.667673716012084,0.2171875,0.05,rural,grown
50,arlington,2013,5,8208,0.18243243243243246,117226.48837209302,141678.55759841323,2.9699689749691256,0.051757703237933265,0.0668620913423885,rural,grown
51,arlington,2014,4,8208,0.18243243243243246,117226.48837209302,141678.55759841323,2.9699689749691256,0.051757703237933265,0.0668620913423885,rural,grown
52,arlington,2015,2,8208,0.18243243243243246,117226.48837209302,141678.55759841323,2.9699689749691256,0.051757703237933265,0.0668620913423885,rural,grown
53,arlington,2016,1,8208,0.18243243243243246,117226.48837209302,141678.55759841323,2.9699689749691256,0.051757703237933265,0.0668620913423885,rural,grown
54,arlington,2017,2,8208,0.18243243243243246,117226.48837209302,141678.55759841323,2.9699689749691256,0.051757703237933265,0.0668620913423885,rural,grown
55,ashburnham,2013,0,776,0.1249597423510467,86149.8,99282.09876598572,2.8346068523539563,0.04776021080368906,0.06538208168642952,rural,grown
56,ashburnham,2014,1,776,0.1249597423510467,86149.8,99282.09876598572,2.8346068523539563,0.04776021080368906,0.06538208168642952,rural,grown
57,ashburnham,2015,1,776,0.1249597423510467,86149.8,99282.09876598572,2.8346068523539563,0.04776021080368906,0.06538208168642952,rural,grown
58,ashburnham,2016,0,776,0.1249597423510467,86149.8,99282.09876598572,2.8346068523539563,0.04776021080368906,0.06538208168642952,rural,grown
59,ashburnham,2017,0,776,0.1249597423510467,86149.8,99282.09876598572,2.8346068523539563,0.04776021080368906,0.06538208168642952,rural,grown
60,ashby,2013,1,496,0.15524256651017215,93522.0,103872.60450834,8.383233532934131,0.07855559075071271,0.06208425720620842,rural,grown
61,ashby,2014,0,496,0.15524256651017215,93522.0,103872.60450834,8.383233532934131,0.07855559075071271,0.06208425720620842,rural,grown
62,ashby,2015,0,496,0.15524256651017215,93522.0,103872.60450834,8.383233532934131,0.07855559075071271,0.06208425720620842,rural,grown
63,ashby,2016,1,496,0.15524256651017215,93522.0,103872.60450834,8.383233532934131,0.07855559075071271,0.06208425720620842,rural,grown
